h,x
0.41742,0.0
0.41738,0.005
0.41731,0.01
0.41722,0.015
0.41714,0.02
0.41705,0.025
0.41697,0.03
0.41689,0.035
0.41682,0.04
0.41675,0.045
0.41668,0.05
0.41662,0.055
0.41655,0.06
0.41648,0.065
0.41641,0.07
0.41634,0.075
0.41627,0.08
0.4162,0.085
0.41613,0.09
0.41605,0.095
0.41598,0.1
0.41591,0.105
0.41585,0.11
0.41578,0.115
0.41571,0.12
0.41565,0.125
0.41558,0.13
0.41552,0.135
0.41546,0.14
0.4154,0.145
0.41534,0.15
0.41529,0.155
0.41522,0.16
0.41519,0.165
0.41523,0.17
0.41511,0.175
0.41495,0.18
0.41492,0.185
0.41488,0.19
0.41484,0.195
0.4148,0.2
0.41474,0.205
0.41469,0.21
0.41464,0.215
0.41459,0.22
0.41454,0.225
0.4145,0.23
0.41445,0.235
0.41441,0.24
0.41437,0.245
0.41432,0.25
0.41429,0.255
0.41425,0.26
0.41421,0.265
0.41417,0.27
0.41414,0.275
0.4141,0.28
0.41407,0.285
0.41404,0.29
0.41401,0.295
0.41398,0.3
0.41395,0.305
0.41392,0.31
0.41389,0.315
0.41387,0.32
0.41384,0.325
0.41382,0.33
0.41379,0.335
0.41377,0.34
0.41375,0.345
0.41373,0.35
0.41371,0.355
0.41369,0.36
0.41367,0.365
0.41365,0.37
0.41363,0.375
0.41362,0.38
0.4136,0.385
0.41359,0.39
0.41357,0.395
0.41356,0.4
0.41354,0.405
0.41353,0.41
0.41352,0.415
0.4135,0.42
0.41349,0.425
0.41348,0.43
0.41347,0.435
0.41346,0.44
0.41345,0.445
0.41344,0.45
0.41343,0.455
0.41343,0.46
0.41342,0.465
0.41341,0.47
0.41341,0.475
0.4134,0.48
0.4134,0.485
0.41339,0.49
0.41338,0.495
0.41338,0.5
0.41338,0.505
0.41337,0.51
0.41337,0.515
0.41337,0.52
0.41337,0.525
0.41337,0.53
0.41337,0.535
0.41336,0.54
0.41336,0.545
0.41336,0.55
0.41336,0.555
0.41337,0.56
0.41337,0.5650000000000001
0.41337,0.5700000000000001
0.41337,0.5750000000000001
0.41337,0.58
0.41338,0.585
0.41338,0.59
0.41338,0.595
0.41338,0.6
0.41339,0.605
0.41339,0.61
0.41339,0.615
0.4134,0.62
0.4134,0.625
0.41341,0.63
0.41341,0.635
0.41342,0.64
0.41342,0.645
0.41342,0.65
0.41343,0.655
0.41344,0.66
0.41344,0.665
0.41345,0.67
0.41346,0.675
0.41346,0.68
0.41347,0.685
0.41348,0.6900000000000001
0.41348,0.6950000000000001
0.41349,0.7000000000000001
0.4135,0.705
0.41351,0.71
0.41352,0.715
0.41353,0.72
0.41353,0.725
0.41354,0.73
0.41355,0.735
0.41356,0.74
0.41357,0.745
0.41358,0.75
0.41359,0.755
0.4136,0.76
0.41361,0.765
0.41362,0.77
0.41363,0.775
0.41364,0.78
0.41365,0.785
0.41366,0.79
0.41367,0.795
0.41368,0.8
0.41368,0.805
0.41369,0.81
0.4137,0.8150000000000001
0.41371,0.8200000000000001
0.41371,0.8250000000000001
0.41372,0.8300000000000001
0.41373,0.835
0.41373,0.84
0.41374,0.845
0.41374,0.85
0.41375,0.855
0.41375,0.86
0.41376,0.865
0.41376,0.87
0.41376,0.875
0.41376,0.88
0.41377,0.885
0.41377,0.89
0.41377,0.895
0.41377,0.9
0.41377,0.905
0.41378,0.91
0.41378,0.915
0.41378,0.92
0.41378,0.925
0.41378,0.93
0.41378,0.935
0.41378,0.94
0.41378,0.945
0.41378,0.95
0.41378,0.955
0.41377,0.96
0.41377,0.965
0.41377,0.97
0.41377,0.975
0.41377,0.98
0.41377,0.985
0.41377,0.99
0.41377,0.995
0.41377,1.0
0.41377,1.005
0.41376,1.01
0.41376,1.015
0.41376,1.02
0.41376,1.025
0.41375,1.03
0.41375,1.035
0.41375,1.04
0.41374,1.045
0.41374,1.05
0.41374,1.055
0.41373,1.06
0.41373,1.065
0.41372,1.07
0.41371,1.075
0.4137,1.08
0.4137,1.085
0.41369,1.09
0.41368,1.095
0.41367,1.1
0.41365,1.105
0.41364,1.11
0.41363,1.115
0.41362,1.12
0.4136,1.125
0.41359,1.13
0.41357,1.135
0.41356,1.14
0.41354,1.145
0.41352,1.15
0.4135,1.155
0.41348,1.16
0.41346,1.165
0.41343,1.17
0.41341,1.175
0.41338,1.18
0.41335,1.185
0.41332,1.19
0.41329,1.195
0.41325,1.2
0.41322,1.205
0.41318,1.21
0.41314,1.215
0.4131,1.22
0.41306,1.225
0.41301,1.23
0.41297,1.235
0.41291,1.24
0.41286,1.245
0.41281,1.25
0.41275,1.255
0.41269,1.26
0.41262,1.265
0.41255,1.27
0.41248,1.275
0.4124,1.28
0.41232,1.285
0.41223,1.29
0.41214,1.295
0.41205,1.3
0.41194,1.305
0.41184,1.31
0.41172,1.315
0.4116,1.32
0.41147,1.325
0.41134,1.33
0.41119,1.335
0.41104,1.34
0.41088,1.345
0.41071,1.35
0.41053,1.355
0.41035,1.36
0.41013,1.365
0.40991,1.37
0.40969,1.375
0.40943,1.38
0.40916,1.385
0.40886,1.39
0.40854,1.395
0.4082,1.4
0.40783,1.405
0.40744,1.41
0.40703,1.415
0.40658,1.42
0.40612,1.425
0.40559,1.43
0.40515,1.435
0.4046,1.44
0.40388,1.445
0.40322,1.45
0.40249,1.455
0.40173,1.46
0.40083,1.465
0.40016,1.47
0.39926,1.475
0.39797,1.48
0.39684,1.485
0.39565,1.49
0.39432,1.495
0.39292,1.5
0.39121,1.505
0.38946,1.51
0.38787,1.515
0.38605,1.52
0.38403,1.525
0.38157,1.53
0.37912,1.535
0.37663,1.54
0.37371,1.545
0.37117,1.55
0.36776,1.555
0.36356,1.56
0.36092,1.565
0.3577,1.57
0.35282,1.575
0.34786,1.58
0.34286,1.585
0.33785,1.59
0.3328,1.595
0.32774,1.6
0.32267,1.605
0.3176,1.61
0.31256,1.615
0.30507,1.62
0.29513,1.625
0.28517,1.63
0.27521,1.635
0.26524,1.64
0.25769,1.645
0.25015,1.65
0.24022,1.655
0.2327,1.66
0.2252,1.665
0.21771,1.67
0.21025,1.675
0.20278,1.68
0.1977,1.685
0.1903,1.69
0.18287,1.695
0.17779,1.7
0.17274,1.705
0.1677,1.71
0.16268,1.715
0.15766,1.72
0.15266,1.725
0.14533,1.73
0.13797,1.735
0.13293,1.74
0.12792,1.745
0.12292,1.75
0.11793,1.755
0.11295,1.76
0.10799,1.765
0.10304,1.77
0.0981,1.775
0.09532,1.78
0.09263,1.785
0.08783,1.79
0.08521,1.795
0.0826,1.8
0.0778,1.805
0.07521,1.81
0.07266,1.815
0.07015,1.82
0.06766,1.825
0.06516,1.83
0.06272,1.835
0.06023,1.84
0.05828,1.845
0.05592,1.85
0.05517,1.855
0.05384,1.86
0.05223,1.865
0.05142,1.87
0.05065,1.875
0.05015,1.88
0.04954,1.885
0.04882,1.89
0.04841,1.895
0.04805,1.9
0.04774,1.905
0.04747,1.91
0.04723,1.915
0.04702,1.92
0.04685,1.925
0.04669,1.93
0.04655,1.935
0.04644,1.94
0.04633,1.945
0.04624,1.95
0.04617,1.955
0.0461,1.96
0.04604,1.965
0.04599,1.97
0.04594,1.975
0.0459,1.98
0.04587,1.985
0.04584,1.99
0.04581,1.995
0.04579,2.0
0.04577,2.005
0.04575,2.01
0.04574,2.015
0.04573,2.02
0.04571,2.025
0.0457,2.03
0.04569,2.035
0.04569,2.04
0.04568,2.045
0.04567,2.05
0.04567,2.055
0.04566,2.06
0.04566,2.065
0.04565,2.07
0.04565,2.075
0.04565,2.08
0.04564,2.085
0.04564,2.09
0.04564,2.095
0.04564,2.1
0.04563,2.105
0.04563,2.11
0.04563,2.115
0.04563,2.12
0.04563,2.125
0.04563,2.13
0.04562,2.135
0.04562,2.14
0.04562,2.145
0.04562,2.15
0.04562,2.155
0.04562,2.16
0.04562,2.165
0.04562,2.17
0.04561,2.1750000000000003
0.04561,2.18
0.04561,2.185
0.04561,2.19
0.04561,2.195
0.04561,2.2
0.04561,2.205
0.04561,2.21
0.0456,2.215
0.0456,2.22
0.0456,2.225
0.0456,2.23
0.0456,2.235
0.0456,2.24
0.0456,2.245
0.0456,2.25
0.04559,2.255
0.04559,2.26
0.04559,2.265
0.04559,2.27
0.04559,2.275
0.04559,2.28
0.04559,2.285
0.04559,2.29
0.04558,2.295
0.04558,2.3000000000000003
0.04558,2.305
0.04558,2.31
0.04558,2.315
0.04558,2.32
0.04558,2.325
0.04558,2.33
0.04557,2.335
0.04557,2.34
0.04557,2.345
0.04557,2.35
0.04557,2.355
0.04557,2.36
0.04557,2.365
0.04557,2.37
0.04556,2.375
0.04556,2.38
0.04556,2.385
0.04556,2.39
0.04556,2.395
0.04556,2.4
0.04556,2.405
0.04556,2.41
0.04556,2.415
0.04555,2.42
0.04555,2.4250000000000003
0.04555,2.43
0.04555,2.435
0.04555,2.44
0.04555,2.445
0.04555,2.45
0.04555,2.455
0.04555,2.46
0.04555,2.465
0.04555,2.47
0.04555,2.475
0.04554,2.48
0.04554,2.485
0.04554,2.49
0.04554,2.495
0.04554,2.5
