x,v,h,H,hW
0.0,0.22171,0.45092,0.45342,0.0
0.005,0.22199,0.45088,0.45339,0.0
0.01,0.22272,0.45082,0.45334,0.0
0.015,0.22357,0.45075,0.4533,0.0
0.02,0.22436,0.45068,0.45325,0.0
0.025,0.22508,0.45062,0.4532,0.0
0.03,0.22574,0.45055,0.45315,0.0
0.035,0.22639,0.45049,0.4531,0.0
0.04,0.227,0.45043,0.45306,0.0
0.045,0.22753,0.45037,0.45301,0.0
0.05,0.22806,0.45031,0.45296,0.0
0.055,0.22856,0.45025,0.45291,0.0
0.06,0.22903,0.45017,0.45285,0.0
0.065,0.2295,0.45019,0.45287,0.0
0.07,0.22995,0.45011,0.4528,0.0
0.075,0.23036,0.44994,0.45265,0.0
0.08,0.23074,0.4499,0.45261,0.0
0.085,0.23113,0.44985,0.45257,0.0
0.09,0.23147,0.4498,0.45253,0.0
0.095,0.23182,0.44974,0.45248,0.0
0.1,0.23217,0.44968,0.45243,0.0
0.105,0.23247,0.44962,0.45237,0.0
0.11,0.23278,0.44956,0.45232,0.0
0.115,0.2331,0.44949,0.45226,0.0
0.12,0.23338,0.44943,0.45221,0.0
0.125,0.23364,0.44937,0.45215,0.0
0.13,0.23391,0.44931,0.4521,0.0
0.135,0.23417,0.44925,0.45205,0.0
0.14,0.23442,0.4492,0.452,0.0
0.145,0.23465,0.44914,0.45194,0.0
0.15,0.23486,0.44908,0.45189,0.0
0.155,0.23508,0.44903,0.45184,0.0
0.16,0.23529,0.44897,0.4518,0.0
0.165,0.2355,0.44892,0.45175,0.0
0.17,0.23568,0.44887,0.4517,0.0
0.17500000000000002,0.23586,0.44881,0.45165,0.0
0.18,0.23603,0.44876,0.4516,0.0
0.185,0.23618,0.44871,0.45155,0.0
0.19,0.23634,0.44866,0.45151,0.0
0.195,0.2365,0.44861,0.45146,0.0
0.2,0.23664,0.44856,0.45142,0.0
0.20500000000000002,0.23678,0.44851,0.45137,0.0
0.21,0.23691,0.44847,0.45133,0.0
0.215,0.23703,0.44842,0.45128,0.0
0.22,0.23714,0.44838,0.45124,0.0
0.225,0.23725,0.44833,0.4512,0.0
0.23,0.23735,0.44829,0.45116,0.0
0.23500000000000001,0.23744,0.44825,0.45112,0.0
0.24,0.23752,0.4482,0.45108,0.0
0.245,0.2376,0.44816,0.45104,0.0
0.25,0.23767,0.44812,0.451,0.0
0.255,0.23774,0.44809,0.45097,0.0
0.26,0.23781,0.44805,0.45093,0.0
0.265,0.23787,0.44801,0.45089,0.0
0.27,0.23792,0.44798,0.45086,0.0
0.275,0.23797,0.44794,0.45083,0.0
0.28,0.23802,0.44791,0.45079,0.0
0.28500000000000003,0.23805,0.44787,0.45076,0.0
0.29,0.23808,0.44784,0.45073,0.0
0.295,0.23811,0.44781,0.4507,0.0
0.3,0.23813,0.44778,0.45067,0.0
0.305,0.23815,0.44775,0.45064,0.0
0.31,0.23816,0.44772,0.45061,0.0
0.315,0.23816,0.44769,0.45059,0.0
0.32,0.23816,0.44767,0.45056,0.0
0.325,0.23816,0.44764,0.45053,0.0
0.33,0.23815,0.44762,0.45051,0.0
0.335,0.23814,0.44759,0.45048,0.0
0.34,0.23812,0.44757,0.45046,0.0
0.34500000000000003,0.2381,0.44755,0.45044,0.0
0.35000000000000003,0.23807,0.44753,0.45041,0.0
