x,v,h,H,hW
0.0,0.23549,0.42459,0.42742,0.0
0.005,0.23578,0.42455,0.42739,0.0
0.01,0.23653,0.42448,0.42733,0.0
0.015,0.23745,0.4244,0.42728,0.0
0.02,0.23828,0.42433,0.42723,0.0
0.025,0.23906,0.42426,0.42717,0.0
0.03,0.23983,0.42419,0.42712,0.0
0.035,0.24051,0.42412,0.42707,0.0
0.04,0.24113,0.42405,0.42701,0.0
0.045,0.24173,0.42398,0.42695,0.0
0.05,0.24228,0.4239,0.4269,0.0
0.055,0.2428,0.42383,0.42684,0.0
0.06,0.24331,0.42376,0.42678,0.0
0.065,0.24378,0.42369,0.42672,0.0
0.07,0.24424,0.42362,0.42666,0.0
0.075,0.24466,0.42355,0.4266,0.0
0.08,0.24508,0.42348,0.42654,0.0
0.085,0.24547,0.42341,0.42648,0.0
0.09,0.24584,0.42334,0.42642,0.0
0.095,0.24621,0.42327,0.42636,0.0
0.1,0.24656,0.4232,0.4263,0.0
0.105,0.24687,0.42313,0.42624,0.0
0.11,0.24718,0.42307,0.42618,0.0
0.115,0.2475,0.423,0.42612,0.0
0.12,0.24779,0.42294,0.42607,0.0
0.125,0.24806,0.42287,0.42601,0.0
0.13,0.24831,0.4228,0.42595,0.0
0.135,0.24857,0.42274,0.42589,0.0
0.14,0.24882,0.42268,0.42583,0.0
0.145,0.24906,0.42262,0.42578,0.0
0.15,0.24927,0.42255,0.42572,0.0
0.155,0.24947,0.42249,0.42567,0.0
0.16,0.24966,0.42243,0.42561,0.0
0.165,0.24985,0.42238,0.42556,0.0
0.17,0.25005,0.42232,0.4255,0.0
0.17500000000000002,0.25022,0.42226,0.42545,0.0
0.18,0.25039,0.4222,0.4254,0.0
0.185,0.25054,0.42215,0.42535,0.0
0.19,0.25068,0.42209,0.4253,0.0
0.195,0.25081,0.42204,0.42525,0.0
0.2,0.25093,0.42199,0.4252,0.0
0.20500000000000002,0.25104,0.42194,0.42515,0.0
0.21,0.25114,0.42189,0.4251,0.0
0.215,0.25124,0.42184,0.42506,0.0
0.22,0.25134,0.42179,0.42501,0.0
0.225,0.25144,0.42174,0.42497,0.0
0.23,0.25152,0.4217,0.42492,0.0
0.23500000000000001,0.25159,0.42165,0.42488,0.0
0.24,0.25166,0.42161,0.42484,0.0
0.245,0.25171,0.42157,0.4248,0.0
0.25,0.25176,0.42153,0.42476,0.0
0.255,0.25181,0.42149,0.42472,0.0
0.26,0.25184,0.42145,0.42468,0.0
0.265,0.25187,0.42141,0.42464,0.0
0.27,0.25189,0.42137,0.42461,0.0
0.275,0.2519,0.42134,0.42457,0.0
0.28,0.25191,0.4213,0.42454,0.0
0.28500000000000003,0.25192,0.42127,0.4245,0.0
0.29,0.25191,0.42124,0.42447,0.0
0.295,0.2519,0.4212,0.42444,0.0
0.3,0.25189,0.42117,0.42441,0.0
0.305,0.25187,0.42114,0.42438,0.0
0.31,0.25184,0.42112,0.42435,0.0
0.315,0.25181,0.42109,0.42432,0.0
0.32,0.25177,0.42106,0.42429,0.0
0.325,0.25173,0.42104,0.42427,0.0
0.33,0.25168,0.42101,0.42424,0.0
0.335,0.25163,0.42099,0.42422,0.0
0.34,0.25157,0.42096,0.42419,0.0
0.34500000000000003,0.25151,0.42094,0.42417,0.0
0.35000000000000003,0.25145,0.42092,0.42414,0.0
0.355,0.25138,0.4209,0.42412,0.0
0.36,0.2513,0.42088,0.4241,0.0
0.365,0.25122,0.42086,0.42408,0.0
0.37,0.25114,0.42085,0.42406,0.0
0.375,0.25105,0.42083,0.42404,0.0
0.38,0.25096,0.42082,0.42403,0.0
0.385,0.25087,0.4208,0.42401,0.0
0.39,0.25077,0.42079,0.42399,0.0
0.395,0.25067,0.42077,0.42398,0.0
0.4,0.25056,0.42076,0.42396,0.0
0.405,0.25045,0.42075,0.42395,0.0
0.41000000000000003,0.25033,0.42074,0.42393,0.0
0.41500000000000004,0.25022,0.42073,0.42392,0.0
0.42,0.2501,0.42072,0.42391,0.0
0.425,0.24998,0.42071,0.42389,0.0
0.43,0.24986,0.4207,0.42388,0.0
0.435,0.24973,0.42069,0.42387,0.0
